Word,ID
one,1
of,2
the,3
other,4
reviewers,5
has,6
mentioned,7
that,8
after,9
watching,10
just,11
1,12
oz,13
episode,14
youll,15
be,16
hooked,17
they,18
are,19
right,20
as,21
this,22
is,23
exactly,24
what,25
happened,26
with,27
mebr,28
br,29
first,30
thing,31
struck,32
me,33
about,34
was,35
its,36
brutality,37
and,38
unflinching,39
scenes,40
violence,41
which,42
set,43
in,44
from,45
word,46
go,47
trust,48
not,49
a,50
show,51
for,52
faint,53
hearted,54
or,55
timid,56
pulls,57
no,58
punches,59
regards,60
to,61
drugs,62
sex,63
hardcore,64
classic,65
use,66
wordbr,67
it,68
called,69
nickname,70
given,71
oswald,72
maximum,73
security,74
state,75
penitentary,76
focuses,77
mainly,78
on,79
emerald,80
city,81
an,82
experimental,83
section,84
prison,85
where,86
all,87
cells,88
have,89
glass,90
fronts,91
face,92
inwards,93
so,94
privacy,95
high,96
agenda,97
em,98
home,99
manyaryans,100
muslims,101
gangstas,102
latinos,103
christians,104
italians,105
irish,106
moreso,107
scuffles,108
death,109
stares,110
dodgy,111
dealings,112
shady,113
agreements,114
never,115
far,116
awaybr,117
i,118
would,119
say,120
main,121
appeal,122
due,123
fact,124
goes,125
shows,126
wouldnt,127
dare,128
forget,129
pretty,130
pictures,131
painted,132
mainstream,133
audiences,134
charm,135
romanceoz,136
doesnt,137
mess,138
around,139
ever,140
saw,141
nasty,142
surreal,143
couldnt,144
ready,145
but,146
watched,147
more,148
developed,149
taste,150
got,151
accustomed,152
levels,153
graphic,154
injustice,155
crooked,156
guards,157
wholl,158
sold,159
out,160
nickel,161
inmates,162
kill,163
order,164
get,165
away,166
well,167
mannered,168
middle,169
class,170
being,171
turned,172
into,173
bitches,174
their,175
lack,176
street,177
skills,178
experience,179
you,180
may,181
become,182
comfortable,183
uncomfortable,184
viewingthats,185
if,186
can,187
touch,188
your,189
darker,190
side,191
wonderful,192
little,193
production,194
filming,195
technique,196
very,197
unassuming,198
oldtimebbc,199
fashion,200
gives,201
comforting,202
sometimes,203
discomforting,204
sense,205
realism,206
entire,207
piece,208
actors,209
extremely,210
chosen,211
michael,212
sheen,213
only,214
polari,215
he,216
voices,217
down,218
pat,219
too,220
truly,221
see,222
seamless,223
editing,224
guided,225
by,226
references,227
williams,228
diary,229
entries,230
worth,231
terrificly,232
written,233
performed,234
masterful,235
great,236
masters,237
comedy,238
his,239
life,240
really,241
comes,242
things,243
fantasy,244
guard,245
rather,246
than,247
traditional,248
dream,249
techniques,250
remains,251
solid,252
then,253
disappears,254
plays,255
our,256
knowledge,257
senses,258
particularly,259
concerning,260
orton,261
halliwell,262
sets,263
flat,264
halliwells,265
murals,266
decorating,267
every,268
